SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0141.93.03.00002353;3510.0000;1170;3487;310;22/01/2009
0141.93.03.00002355;3510.0000;1170;3489;311;22/01/2009
0135.93.03.00002917;2551.6600;4307.93;3496;312;17/01/2011
0141.93.03.00002357;4212.0000;1404;3499;313;13/03/2009
0135.93.03.00002923;12118.4400;12118.18;3507;314;18/01/2011
0141.93.03.00002363;9900.0000;4950;3511;315;16/11/2009
0141.93.03.00002365;2808.0000;1404;3513;316;06/06/2009
0141.93.03.00002369;2340.0000;1170;3519;317;21/01/2011
0135.93.03.00002928;4306.0400;4306.03;3522;318;24/01/2011
0133.93.03.00004023;10699.8100;8732.94;3524;319;24/01/2011
0135.93.03.00002924;4490.2500;12726.52;3526;320;24/01/2011
0133.93.03.00004031;18102.2000;18101.82;3534;321;24/01/2011
0133.93.03.00004042;14647.1700;6317.74;3538;322;27/01/2011
0141.93.03.00002384;6000.0000;3000;3544;323;10/11/2008
0135.93.03.00002943;33519.2500;60519.25;3551;324;14/02/2011
0133.93.03.00004093;1941.5200;1941.04;3581;325;25/05/2010
0142.93.03.00000340;4074.2100;3994.29;3605;326;17/02/2011
0153.93.03.00001162;3496.1000;3496.11;3615;327;10/02/2010
0131.93.03.00000907;1553.6100;1553.6;3618;328;21/02/2011
0141.93.03.00002410;22563.6400;22562.58;3620;329;21/02/2011
0141.93.03.00002412;5700.0000;2850;3622;330;21/02/2011
0133.93.03.00004115;3953.5200;3952.52;3625;331;21/02/2011
0141.93.03.00002407;4851.9400;4851.92;3633;332;21/02/2011
0133.93.03.00004151;2968.8100;2968.8;3648;333;20/08/2010
0135.93.03.00002993;4255.9400;5014.62;3656;334;21/02/2011
0129.93.03.00000457;47964.8000;35973.6;3664;335;06/04/2010
0133.93.03.00004134;7596.2400;7595.48;3680;336;24/06/2010
0135.93.03.00002992;8019.5900;5113.06;3687;337;21/02/2011
0129.93.03.00000459;3659.8400;2744.88;3695;338;21/02/2011
0135.93.03.00002989;3192.9800;4789.47;3700;339;21/02/2011
0135.93.03.00002997;4596.4900;4341.13;3714;340;24/06/2010
