SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id
0141.93.03.00002487;80000.0000;40000;4108;485
0133.93.03.00004354;7839.5300;7864.66;4115;486
0124.93.03.00000486;10199.8100;12199.81;4117;487
0129.93.03.00000497;1225.1500;1224.66;4119;488
0132.93.03.00000294;8359.9400;8359.15;4121;489
0135.93.03.00003147;2752.4400;2874.27;4135;490
0126.93.03.00000904;36399.8500;36399.86;4138;491
0115.93.03.00000417;5000.9700;5000.98;4148;492
0135.93.03.00003139;1161.7900;1010.72;4152;493
0133.93.03.00004369;9337.1900;9335.57;4157;494
0133.93.03.00004367;12135.4900;11877.01;4167;495
0129.93.03.00000503;5470.7900;7470.79;4169;496
0133.93.03.00004366;7358.6700;7358.68;4171;497
0135.93.03.00003146;4060.4300;2060.43;4175;498
0129.93.03.00000501;2686.1600;2685.67;4178;499
0133.93.03.00004373;2428.8500;2428.36;4180;500
0135.93.03.00003152;4579.9200;6579.92;4182;501
0135.93.03.00003150;4493.1800;6493.18;4188;502
0129.93.03.00000502;23693.6800;28013.68;4194;503
0133.93.03.00004376;9765.6900;9971.74;4200;504
0151.93.03.00000153;17721.4100;17784.79;4211;505
0135.93.03.00003160;10474.6400;10289.55;4214;506
0133.93.03.00004390;4368.4600;4282.8;4216;507
0141.93.03.00002495;2413.2600;2412.77;4219;508
0135.93.03.00003164;4478.5600;7271.28;4221;509
0133.93.03.00004385;10399.5100;10441.37;4224;510
0133.93.03.00004379;3639.0300;3639.01;4226;511
0135.93.03.00003156;7640.4800;17285.76;4230;512
0135.81.03.00000243;1742.9100;1742.94;4234;513
0115.93.03.00000421;70112.5900;70110.65;4247;514
0131.93.03.00000966;1499.0300;3499.03;4268;515
0133.93.03.00004396;5519.5100;5614.43;4270;516
